,name,ratio
152,Caniformia,0.4826418289585097
153,Archaea,0.47171097477845947
154,Peptococcaceae,0.4759036144578313
155,Desulfosporosinus,0.5029013539651838
156,Caulobacter,0.46987951807228917
157,Galliformes,0.4537354352296093
158,Oncorhynchus,0.4903508771929825
159,Clostridioides,0.42870285188592455
160,Clostridium,0.402
161,Lactobacillaceae,0.6200828157349897
162,Myxococcaceae,0.4714475431606906
163,Cercopithecinae,0.44879210615855736
164,Hystricomorpha,0.4507323568575233
165,Desulfitobacterium,0.5088183421516755
166,Nitriliruptoria,0.5381974248927038
167,Streptomycetales,0.47096774193548385
168,Streptomycetaceae,0.45322245322245325
169,Vibrionales,0.4205729166666667
170,Vibrionaceae,0.4205729166666667
171,Escherichia,0.4420529801324503
172,Euzebyales,0.4967105263157895
