,names,counts
735,Kurtiformes,20
736,Apogonoidei,20
737,Apogonidae,20
738,Apogoninae,20
739,Sphaeramia,20
740,Pocilloporidae,20
741,Neotominae,20
742,Peromyscus,20
743,Tetrasphaera,20
744,Virgibacillus,20
745,Oceanospirillaceae,19
746,Cetartiodactyla,19
747,Heterobranchia,19
748,Euthyneura,19
749,Nototheniidae,19
750,Rhinopithecus,19
751,Desulfobacterales,19
752,Coraciiformes,19
753,Solaneae,19
754,Solanum,19
755,Desmodontinae,19
756,Desmodus,19
757,Thermoleophilia,19
758,Solirubrobacterales,19
759,Halieaceae,19
760,Gehyra,19
761,Kytococcaceae,19
762,Kytococcus,19
763,Scolopacidae,19
764,Mesobacillus,19
765,Callorhinus,19
766,Tinamiformes,19
767,Tinamidae,19
768,Oxobacter,19
769,Luciopercinae,19
770,Sander,19
771,Spongiibacter,19
772,Pangasiidae,19
773,Pangasianodon,19
774,unclassified Thermococcus,19
775,Anareolatae,18
776,Noctuoidea,18
777,Culicoidea,18
778,Culicidae,18
779,unclassified Asticcacaulis,18
780,Myrmicinae,18
781,Bradymonas,18
782,Chondromyces,18
783,Cyprininae,18
784,unclassified Dehalobacter,18
785,Dactyloidae,18
786,Anolis,18
787,Sinobacteraceae,18
788,Ambassidae,18
789,Parambassis,18
790,Chinchillidae,18
791,Chinchilla,18
792,Ornithinicoccus,18
793,Ursus,18
794,Pedunculata,18
795,Scalpellomorpha,18
796,Pollicipedidae,18
797,Pollicipes,18
798,Eumetopias,18
799,Aquila,17
800,Rivulidae,17
801,Estrildinae,17
802,Haplochromis,17
803,Noctuidae,17
804,Camarhynchus,17
805,Desulfobacteraceae,17
806,Chromatiales,17
807,Viruses,17
808,unclassified Capnocytophaga,17
809,Scandentia,17
810,Tupaiidae,17
811,Tupaia,17
812,Eubacteriales,17
813,Indriidae,17
814,Propithecus,17
815,Cephalopoda,17
816,Coleoidea,17
817,unclassified Eggerthella,17
818,Fictibacillus,17
819,Nannocystineae,17
820,Blennioidei,17
821,Blenniidae,17
822,Salariinae,17
823,Salarias,17
824,Bacteroidia,17
825,Aotidae,17
826,Aotus,17
827,Plantactinospora,17
828,Polyangium,17
829,Leporidae,17
830,Oryctolagus,17
831,Silurana,17
832,Scophthalmidae,17
833,Scophthalmus,17
834,Spalacidae,17
835,Spalacinae,17
836,Nannospalax,17
837,Trochilidae,16
838,Calypte,16
839,Zeiogadaria,16
840,Gadariae,16
841,Gadiformes,16
842,Gadoidei,16
843,Gadidae,16
844,Gadus,16
845,Labrus,16
846,Collichthys,16
847,Panpulmonata,16
848,Hygrophila,16
849,Lymnaeoidea,16
850,Planorbidae,16
851,Biomphalaria,16
852,Cyanistes,16
853,Rhipicephalinae,16
854,Anabantiformes,16
855,Anabantoidei,16
856,Coriobacteriales,16
857,Echinozoa,16
858,Echinoidea,16
859,Euechinoidea,16
860,Echinacea,16
861,Camarodonta,16
862,Echinidea,16
863,unclassified Corallococcus,16
864,Dermatophilaceae,16
865,Octopodiformes,16
866,Octopoda,16
867,Incirrata,16
868,Octopodidae,16
869,Octopus,16
870,unclassified Finegoldia,16
871,Spariformes,16
872,Sparidae,16
873,Sparus,16
874,Glutamicibacter,16
875,Cheirogaleidae,16
876,Microcebus,16
877,Didelphimorphia,16
878,Didelphidae,16
879,Monodelphis,16
880,Paralichthyidae,16
881,Paralichthys,16
882,Maricaulis,16
883,Microterricola,16
884,Xenarthra,16
885,Cingulata,16
886,Dasypodidae,16
887,Dasypus,16
888,Oceanicaulis,16
889,Oceanobacillus,16
890,Schaalia,16
891,Mastomys,16
892,Gorilla,16
893,Acidovorax,15
894,Tephritoidea,15
895,Tephritidae,15
896,Haliaeetus,15
897,Bison,15
898,Bombus,15
899,Pyrobombus,15
900,Rhipicephalus,15
901,Campylobacter,15
902,Capsiceae,15
903,Capsicum,15
904,Cellulophaga,15
905,Caviidae,15
906,Cavia,15
907,Piciformes,15
908,Picidae,15
909,Picoides,15
910,Ostreida,15
911,Ostreoidea,15
912,Ostreidae,15
913,Crassostrea,15
914,Collembola,15
915,Testudinidae,15
916,Gopherus,15
917,Syngnathiaria,15
918,Syngnathiformes,15
919,Syngnathoidei,15
920,Syngnathidae,15
921,Halioglobus,15
922,Kallipyga,15
923,Lutibacter,15
924,Acanthophiinae,15
925,Lamprologini,15
926,Neolamprologus,15
927,Carphodactylidae,15
928,Esociformes,15
929,Esocidae,15
930,Esox,15
931,Odocoileinae,15
932,Odocoileus,15
933,Polypteriformes,15
934,Polypteridae,15
935,Erpetoichthys,15
936,Calidris,15
937,Elasmobranchii,15
938,Galeomorphii,15
939,Galeoidea,15
940,Stylophora,15
941,Synbranchidae,15
942,Monopterus,15
943,Terribacillus,15
944,Gasterosteus,15
945,Adlercreutzia,14
946,unclassified Adlercreutzia,14
947,Araneidae,14
948,Archangium,14
949,Papilionidae,14
950,Papilioninae,14
951,Papilio,14
952,Actiniaria,14
953,Lonchura,14
954,Debaryomycetaceae,14
955,Candida/Lodderomyces clade,14
956,Candida,14
957,Apodidae,14
958,Chaetura,14
959,unclassified Chryseoglobus,14
960,Amphiprion,14
961,Carassius,14
962,other sequences,14
963,artificial sequences,14
964,Nematoda,14
965,Chromadorea,14
966,Rhabditida,14
967,Spirurina,14
968,Oxyuridomorpha,14
969,Oxyuroidea,14
970,Oxyuridae,14
971,Enterobius,14
972,Notolabrus,14
973,Nocardia,14
974,unclassified Oceanicaulis,14
975,Bacteroidales,14
976,Pasteurella,14
977,Pseudonaja,14
978,Pundamilia,14
979,Strongylocentrotidae,14
980,Strongylocentrotus,14
981,Pyxidicoccus,14
982,Acanthisittidae,14
983,Acanthisitta,14
984,Salegentibacter,14
985,Coelomys,14
986,Osphronemidae,14
987,Betta,14
988,Syntrophobotulus,14
989,Hippocampus,14
990,Nemacheilidae,14
991,Triplophysa,14
992,Chrysemys,14
993,Apteryx mantelli,13
994,Gobiesocoidei,13
995,Gobiesocidae,13
996,Gobiesocinae,13
997,Gouania,13
998,Rhoptropus,13
999,Apodinae,13
1000,Chitinophagia,13
1001,Chitinophagales,13
1002,Chitinophagaceae,13
1003,Hylobatidae,13
1004,Sturnidae,13
1005,Bovichtidae,13
1006,Cottoperca,13
1007,Lutrinae,13
1008,Enhydra,13
1009,unclassified Fictibacillus,13
1010,Gordonibacter,13
1011,Haemophilus,13
1012,Tunicata,13
1013,Sylvioidea,13
1014,Homoserinimonas,13
1015,Cottales,13
1016,Marisediminicola,13
1017,Mycobacterium tuberculosis complex,13
1018,Odontophoridae,13
1019,Atopobiaceae,13
1020,Pecten,13
1021,Pseudoclavibacter,13
1022,Salmonella,13
1023,Shewanellaceae,13
1024,Shewanella,13
1025,Ictidomys,13
1026,unclassified Virgibacillus,13
1027,Tinamus,13
1028,Moraxellaceae,12
1029,Afroedura,12
1030,Ailuronyx,12
1031,Corvoidea,12
1032,Corvidae,12
1033,Corvus,12
1034,Pelmatozoa,12
1035,Crinoidea,12
1036,Articulata,12
1037,Comatulida,12
1038,Comatulidae,12
1039,Comatulinae,12
1040,Anneissia,12
1041,Gonatodes,12
1042,Aquimarina,12
1043,Fabales,12
1044,Fabaceae,12
1045,Papilionoideae,12
1046,50 kb inversion clade,12
1047,Cucujiformia,12
1048,Heteroptera,12
1049,Panheteroptera,12
1050,Besnoitia,12
1051,Mesitornithidae,12
1052,Mesitornis,12
1053,Bucerotiformes,12
1054,Bucerotidae,12
1055,Buceros,12
1056,Henophidia,12
1057,Pythonidae,12
1058,Python,12
1059,Morganellaceae,12
1060,sulfur-oxidizing symbionts,12
1061,Caprimulgiformes,12
1062,Caprimulgidae,12
1063,Antrostomus,12
1064,Fringillidae,12
1065,Carduelinae,12
1066,Serinus,12
1067,Peracarida,12
1068,Sturnus,12
1069,Dictyoptera,12
1070,Blattodea,12
1071,Blattoidea,12
1072,Termitoidae,12
1073,Culex,12
1074,Cyprinodontidae,12
1075,Cyprinodon,12
1076,Cystoisospora,12
1077,Nymphalidae,12
1078,Soricidae,12
1079,Soricinae,12
1080,Sorex,12
1081,New World cichlids,12
1082,Cichlasomatinae,12
1083,Heroini,12
1084,Archocentrus,12
1085,Sisoridae,12
1086,Sisorinae,12
1087,Bagarius,12
1088,Parus,12
1089,Natrialbales,12
1090,Natrialbaceae,12
1091,Hymenobacteraceae,12
1092,Viperidae,12
1093,Dipodoidea,12
1094,Dipodidae,12
1095,Dipodinae,12
1096,Jaculus,12
1097,Mediodactylus,12
1098,Methylococcales,12
1099,Muntiacinae,12
1100,Muntiacus,12
1101,unclassified Nitrosopumilus,12
1102,Olsenella,12
1103,Heteromyidae,12
1104,Dipodomyinae,12
1105,Dipodomys,12
1106,Porphyromonadaceae,12
1107,Porphyromonas,12
1108,Arvicolinae,12
1109,Microtus,12
1110,Ptychozoon,12
1111,unclassified Raoultibacter,12
1112,Salinimicrobium,12
1113,Tenuidactylus,12
1114,Pseudopodoces,12
1115,Nothobranchiidae,12
1116,Nothobranchius,12
1117,Lonchodidae,11
1118,Thiotrichales,11
1119,Pygoscelis,11
1120,Ochotonidae,11
1121,Ochotona,11
1122,Amphibalanus,11
1123,Stramenopiles,11
1124,Clupeoidei,11
1125,Clupeidae,11
1126,Clupea,11
1127,Strigiformes,11
1128,Nitrosarchaeum,11
1129,Magnoliophyta,11
1130,Colobus,11
1131,Leptosomidae,11
1132,Leptosomus,11
1133,Curtobacterium,11
1134,Pelecanidae,11
1135,Pelecanus,11
1136,Trematomus,11
1137,Entomobryomorpha,11
1138,Isotomoidea,11
1139,Isotomidae,11
1140,Proisotominae,11
1141,Folsomia,11
1142,Gillisia,11
1143,Glaciihabitans,11
1144,Pipridae,11
1145,Manacus,11
1146,Erythrura,11
1147,Myzus,11
1148,Amphipoda,11
1149,unclassified Homoserinimonas,11
1150,Charadriidae,11
1151,Charadrius,11
1152,unclassified Lewinella,11
1153,Anatinae,11
1154,Anas,11
1155,Methylococcaceae,11
1156,unclassified Micromonospora,11
1157,Gonorynchiformes,11
1158,Chanidae,11
1159,Chanos,11
1160,Procellariiformes,11
1161,Procellariidae,11
1162,Fulmarus,11
1163,Opisthocomiformes,11
1164,Opisthocomidae,11
1165,Opisthocomus,11
1166,Tubulidentata,11
1167,Orycteropodidae,11
1168,Orycteropus,11
1169,Crotalinae,11
1170,Priestia,11
1171,Musophagiformes,11
1172,Musophagidae,11
1173,Tauraco,11
1174,Cariamiformes,11
1175,Cariamidae,11
1176,Cariama,11
1177,Taphrinomycotina,11
1178,Schizosaccharomycetes,11
1179,Schizosaccharomycetales,11
1180,Schizosaccharomycetaceae,11
1181,Schizosaccharomyces,11
1182,Solirubrobacteraceae,11
1183,Solirubrobacter,11
1184,Boophilus,11
1185,Acanthochromis,11
